"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2407:30c0:182::aa72:3416","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56864 [ACK] Seq=1 Ack=1 Win=9 Len=0"
"2","0.000055","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3416","TCP","74","[TCP ACKed unseen segment] 56864  >  443 [ACK] Seq=1 Ack=2 Win=260 Len=0"
"3","0.001901","fe80::62e9:92e1:54f9:a039","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"4","0.046825","TechnicolorD_e9:31:6a","Broadcast","ARP","52","Who has 192.168.1.175? Tell 192.168.1.1"
"5","0.192114","2407:30c0:182::aa72:3421","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56863 [ACK] Seq=1 Ack=1 Win=9 Len=0"
"6","0.192212","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3421","TCP","74","[TCP ACKed unseen segment] 56863  >  443 [ACK] Seq=1 Ack=2 Win=260 Len=0"
"7","0.491342","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","96","Standard query 0xd673 A us04www3.zoom.us"
"8","0.492401","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","96","Standard query 0xb47f AAAA us04www3.zoom.us"
"9","0.499847","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","134","Standard query response 0xd673 A us04www3.zoom.us CNAME us04web.zoom.us A 170.114.52.4"
"10","0.502280","fe80::62e9:92e1:54f9:a039","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"11","0.507074","2407:30c0:182::aa72:3416","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56865 [ACK] Seq=1 Ack=1 Win=9 Len=0"
"12","0.507136","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3416","TCP","74","[TCP ACKed unseen segment] 56865  >  443 [ACK] Seq=1 Ack=2 Win=260 Len=0"
"13","0.518428","192.168.1.193","192.168.1.1","DNS","76","Standard query 0xb47f AAAA us04www3.zoom.us"
"14","0.559745","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","146","Standard query response 0xb47f AAAA us04www3.zoom.us CNAME us04web.zoom.us AAAA 2407:30c0:182::aa72:3404"
"15","0.611661","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","86","56895  >  443 [SYN] Seq=0 Win=64440 Len=0 MSS=1432 WS=256 SACK_PERM"
"16","0.620980","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","86","443  >  56895 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM WS=8192"
"17","0.621094","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","74","56895  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"18","0.623702","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TLSv1.3","591","Client Hello (SNI=us04www3.zoom.us)"
"19","0.629522","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56895 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"20","0.640115","2620:1ec:bdf::77","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.2","113","Application Data"
"21","0.640115","2620:1ec:bdf::77","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.2","98","Application Data"
"22","0.640115","2620:1ec:bdf::77","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56873 [FIN, ACK] Seq=64 Ack=1 Win=83 Len=0"
"23","0.640286","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2620:1ec:bdf::77","TCP","74","56873  >  443 [ACK] Seq=1 Ack=65 Win=255 Len=0"
"24","0.640913","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2620:1ec:bdf::77","TCP","74","56873  >  443 [FIN, ACK] Seq=1 Ack=65 Win=255 Len=0"
"25","0.662269","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","88","Standard query 0x7c5c A wpad.lan"
"26","0.662502","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","88","Standard query 0x8556 AAAA wpad.lan"
"27","0.665818","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","88","Standard query response 0x7c5c No such name A wpad.lan"
"28","0.665818","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","88","Standard query response 0x8556 No such name AAAA wpad.lan"
"29","0.685815","2620:1ec:bdf::77","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56873 [ACK] Seq=65 Ack=2 Win=83 Len=0"
"30","0.773408","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Server Hello, Change Cipher Spec"
"31","0.773408","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","762","443  >  56895 [PSH, ACK] Seq=1361 Ack=518 Win=73728 Len=688 [TCP PDU reassembled in 33]"
"32","0.773408","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","1434","443  >  56895 [ACK] Seq=2049 Ack=518 Win=73728 Len=1360 [TCP PDU reassembled in 33]"
"33","0.773408","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","700","Application Data"
"34","0.773742","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","74","56895  >  443 [ACK] Seq=518 Ack=4035 Win=66560 Len=0"
"35","0.847020","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TLSv1.3","154","Change Cipher Spec, Application Data"
"36","0.847606","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","1434","56895  >  443 [ACK] Seq=598 Ack=4035 Win=66560 Len=1360 [TCP PDU reassembled in 38]"
"37","0.847606","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","1434","56895  >  443 [ACK] Seq=1958 Ack=4035 Win=66560 Len=1360 [TCP PDU reassembled in 38]"
"38","0.847606","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TLSv1.3","417","Application Data"
"39","0.855203","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56895 [ACK] Seq=4035 Ack=598 Win=73728 Len=0"
"40","0.855620","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56895 [ACK] Seq=4035 Ack=1958 Win=73728 Len=0"
"41","0.858065","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56895 [ACK] Seq=4035 Ack=3318 Win=73728 Len=0"
"42","0.859489","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","74","443  >  56895 [ACK] Seq=4035 Ack=3661 Win=73728 Len=0"
"43","1.191341","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"44","1.191341","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"45","1.191341","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"46","1.191341","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","90","443  >  56895 [PSH, ACK] Seq=8115 Ack=3661 Win=73728 Len=16 [TCP PDU reassembled in 48]"
"47","1.191435","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","74","56895  >  443 [ACK] Seq=3661 Ack=8131 Win=66560 Len=0"
"48","1.191735","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"49","1.191735","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"50","1.191735","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"51","1.191735","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"52","1.191735","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","482","Application Data"
"53","1.191840","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","74","56895  >  443 [ACK] Seq=3661 Ack=13979 Win=66560 Len=0"
"54","1.194370","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","1434","443  >  56895 [ACK] Seq=13979 Ack=3661 Win=73728 Len=1360 [TCP PDU reassembled in 55]"
"55","1.194370","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"56","1.194370","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"57","1.194370","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"58","1.194370","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"59","1.194370","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"60","1.194370","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TCP","106","443  >  56895 [PSH, ACK] Seq=22139 Ack=3661 Win=73728 Len=32 [TCP PDU reassembled in 62]"
"61","1.194487","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","74","56895  >  443 [ACK] Seq=3661 Ack=22171 Win=66560 Len=0"
"62","1.196866","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"63","1.196866","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"64","1.196866","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"65","1.196866","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"66","1.196866","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"67","1.196866","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"68","1.196866","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"69","1.196866","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"70","1.196962","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","74","56895  >  443 [ACK] Seq=3661 Ack=33051 Win=66560 Len=0"
"71","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"72","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"73","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"74","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"75","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"76","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"77","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"78","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"79","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"80","1.197860","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"81","1.197990","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","74","56895  >  443 [ACK] Seq=3661 Ack=46651 Win=66560 Len=0"
"82","1.199107","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"83","1.199107","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"84","1.199107","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1434","Application Data"
"85","1.199107","2407:30c0:182::aa72:3404","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","TLSv1.3","1350","Application Data, Application Data, Application Data"
"86","1.199165","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2407:30c0:182::aa72:3404","TCP","74","56895  >  443 [ACK] Seq=3661 Ack=52007 Win=66560 Len=0"
"87","2.004494","fe80::62e9:92e1:54f9:a039","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"88","2.054305","TechnicolorD_e9:31:6a","Broadcast","ARP","52","Who has 192.168.1.175? Tell 192.168.1.1"
"89","2.925151","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","106","Standard query 0xdbbd A zoomdcail213zc.dca.zoom.us"
"90","2.925151","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","106","Standard query 0x15ce A zoompaoal254zc.pao.zoom.us"
"91","2.925607","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","106","Standard query 0x6104 A zoomdcaik213zc.dca.zoom.us"
"92","2.925684","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","106","Standard query 0x0f6f A zoompaoaf254zc.pao.zoom.us"
"93","2.926010","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","106","Standard query 0xde5b AAAA zoomdcail213zc.dca.zoom.us"
"94","2.926107","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","106","Standard query 0x295e AAAA zoompaoal254zc.pao.zoom.us"
"95","2.926647","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","106","Standard query 0x1022 AAAA zoomdcaik213zc.dca.zoom.us"
"96","2.926856","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","2a0d:6fc0:853:da00::1","DNS","106","Standard query 0x89ae AAAA zoompaoaf254zc.pao.zoom.us"
"97","2.932090","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","122","Standard query response 0xdbbd A zoomdcail213zc.dca.zoom.us A 206.247.151.213"
"98","2.932090","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","122","Standard query response 0x15ce A zoompaoal254zc.pao.zoom.us A 144.195.11.254"
"99","2.932090","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","122","Standard query response 0x6104 A zoomdcaik213zc.dca.zoom.us A 206.247.150.213"
"100","2.933099","192.168.1.193","206.247.151.213","TCP","66","56898  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"101","2.933441","192.168.1.193","206.247.150.213","TCP","66","56899  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"102","2.933761","192.168.1.193","144.195.11.254","TCP","66","56900  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"103","2.935321","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","122","Standard query response 0x0f6f A zoompaoaf254zc.pao.zoom.us A 144.195.5.254"
"104","2.935321","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","193","Standard query response 0xde5b AAAA zoomdcail213zc.dca.zoom.us SOA ns-1777.awsdns-30.co.uk"
"105","2.935321","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","191","Standard query response 0x295e AAAA zoompaoal254zc.pao.zoom.us SOA ns-1403.awsdns-47.org"
"106","2.936335","192.168.1.193","144.195.5.254","TCP","66","56901  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"107","2.960522","192.168.1.193","192.168.1.1","DNS","86","Standard query 0x89ae AAAA zoompaoaf254zc.pao.zoom.us"
"108","2.960522","192.168.1.193","192.168.1.1","DNS","86","Standard query 0x1022 AAAA zoomdcaik213zc.dca.zoom.us"
"109","2.994738","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","193","Standard query response 0x1022 AAAA zoomdcaik213zc.dca.zoom.us SOA ns-1777.awsdns-30.co.uk"
"110","2.994738","2a0d:6fc0:853:da00::1","2a0d:6fc0:853:da00:c4f6:d413:eeb0:daea","DNS","191","Standard query response 0x89ae AAAA zoompaoaf254zc.pao.zoom.us SOA ns-1403.awsdns-47.org"
"111","3.071944","206.247.151.213","192.168.1.193","TCP","66","443  >  56898 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1360 SACK_PERM WS=2"
"112","3.072329","192.168.1.193","206.247.151.213","TCP","54","56898  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"113","3.074001","192.168.1.193","206.247.151.213","TLSv1.3","571","Client Hello (SNI=zoomdcail213zc.dca.zoom.us)"
"114","3.075686","206.247.150.213","192.168.1.193","TCP","66","443  >  56899 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1360 SACK_PERM WS=2"
"115","3.075844","192.168.1.193","206.247.150.213","TCP","54","56899  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"116","3.076818","192.168.1.193","206.247.150.213","TLSv1.3","571","Client Hello (SNI=zoomdcaik213zc.dca.zoom.us)"
"117","3.140606","144.195.5.254","192.168.1.193","TCP","66","443  >  56901 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1360 SACK_PERM WS=2"
"118","3.140606","144.195.11.254","192.168.1.193","TCP","66","443  >  56900 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1360 SACK_PERM WS=2"
"119","3.140809","192.168.1.193","144.195.5.254","TCP","54","56901  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"120","3.140881","192.168.1.193","144.195.11.254","TCP","54","56900  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0"
"121","3.141336","192.168.1.193","144.195.5.254","TLSv1.3","571","Client Hello (SNI=zoompaoaf254zc.pao.zoom.us)"
"122","3.141947","192.168.1.193","144.195.11.254","TLSv1.3","571","Client Hello (SNI=zoompaoal254zc.pao.zoom.us)"
"123","3.218503","206.247.151.213","192.168.1.193","TCP","54","443  >  56898 [ACK] Seq=1 Ack=518 Win=64076 Len=0"
"124","3.218503","206.247.151.213","192.168.1.193","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"125","3.219089","192.168.1.193","206.247.151.213","TLSv1.3","577","Change Cipher Spec, Client Hello (SNI=zoomdcail213zc.dca.zoom.us)"
"126","3.222340","206.247.150.213","192.168.1.193","TCP","54","443  >  56899 [ACK] Seq=1 Ack=518 Win=64076 Len=0"
"127","3.222340","206.247.150.213","192.168.1.193","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"128","3.222926","192.168.1.193","206.247.150.213","TLSv1.3","577","Change Cipher Spec, Client Hello (SNI=zoomdcaik213zc.dca.zoom.us)"
"129","3.344762","144.195.5.254","192.168.1.193","TCP","54","443  >  56901 [ACK] Seq=1 Ack=518 Win=64076 Len=0"
"130","3.344762","144.195.5.254","192.168.1.193","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"131","3.345312","192.168.1.193","144.195.5.254","TLSv1.3","577","Change Cipher Spec, Client Hello (SNI=zoompaoaf254zc.pao.zoom.us)"
"132","3.346300","144.195.11.254","192.168.1.193","TCP","54","443  >  56900 [ACK] Seq=1 Ack=518 Win=64076 Len=0"
"133","3.346300","144.195.11.254","192.168.1.193","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"134","3.346810","192.168.1.193","144.195.11.254","TLSv1.3","577","Change Cipher Spec, Client Hello (SNI=zoompaoal254zc.pao.zoom.us)"
"135","3.360570","206.247.151.213","192.168.1.193","TLSv1.3","1414","Server Hello, Application Data"
"136","3.360570","206.247.151.213","192.168.1.193","TCP","1414","443  >  56898 [PSH, ACK] Seq=1460 Ack=1041 Win=64076 Len=1360 [TCP PDU reassembled in 139]"
"137","3.360570","206.247.151.213","192.168.1.193","TCP","1414","443  >  56898 [ACK] Seq=2820 Ack=1041 Win=64076 Len=1360 [TCP PDU reassembled in 139]"
"138","3.360570","206.247.151.213","192.168.1.193","TCP","70","443  >  56898 [PSH, ACK] Seq=4180 Ack=1041 Win=64076 Len=16 [TCP PDU reassembled in 139]"
"139","3.360570","206.247.151.213","192.168.1.193","TLSv1.3","987","Application Data, Application Data, Application Data"
"140","3.360661","192.168.1.193","206.247.151.213","TCP","54","56898  >  443 [ACK] Seq=1041 Ack=5129 Win=66560 Len=0"
"141","3.366137","206.247.150.213","192.168.1.193","TLSv1.3","1414","Server Hello, Application Data"
"142","3.366137","206.247.150.213","192.168.1.193","TCP","1414","443  >  56899 [PSH, ACK] Seq=1460 Ack=1041 Win=64076 Len=1360 [TCP PDU reassembled in 146]"
"143","3.366137","206.247.150.213","192.168.1.193","TCP","1414","443  >  56899 [ACK] Seq=2820 Ack=1041 Win=64076 Len=1360 [TCP PDU reassembled in 146]"
"144","3.366137","206.247.150.213","192.168.1.193","TCP","70","443  >  56899 [PSH, ACK] Seq=4180 Ack=1041 Win=64076 Len=16 [TCP PDU reassembled in 146]"
"145","3.366225","192.168.1.193","206.247.150.213","TCP","54","56899  >  443 [ACK] Seq=1041 Ack=4196 Win=66560 Len=0"
"146","3.367783","206.247.150.213","192.168.1.193","TLSv1.3","987","Application Data, Application Data, Application Data"
"147","3.410500","192.168.1.193","206.247.151.213","TLSv1.3","128","Application Data"
"148","3.410872","192.168.1.193","206.247.151.213","TLSv1.3","208","Application Data"
"149","3.417694","192.168.1.193","206.247.150.213","TLSv1.3","128","Application Data"
"150","3.417981","192.168.1.193","206.247.150.213","TLSv1.3","208","Application Data"
"151","3.548144","206.247.151.213","192.168.1.193","TLSv1.3","133","Application Data"
"152","3.548144","206.247.151.213","192.168.1.193","TLSv1.3","133","Application Data"
"153","3.548144","206.247.151.213","192.168.1.193","TLSv1.3","122","Application Data"
"154","3.548281","192.168.1.193","206.247.151.213","TCP","54","56898  >  443 [ACK] Seq=1269 Ack=5355 Win=66304 Len=0"
"155","3.548820","192.168.1.193","206.247.151.213","TLSv1.3","1408","Application Data"
"156","3.551564","144.195.5.254","192.168.1.193","TLSv1.3","1414","Server Hello, Application Data"
"157","3.551564","144.195.5.254","192.168.1.193","TCP","1414","443  >  56901 [PSH, ACK] Seq=1460 Ack=1041 Win=64076 Len=1360 [TCP PDU reassembled in 161]"
"158","3.551564","144.195.5.254","192.168.1.193","TCP","1414","443  >  56901 [ACK] Seq=2820 Ack=1041 Win=64076 Len=1360 [TCP PDU reassembled in 161]"
"159","3.551564","144.195.5.254","192.168.1.193","TCP","70","443  >  56901 [PSH, ACK] Seq=4180 Ack=1041 Win=64076 Len=16 [TCP PDU reassembled in 161]"
"160","3.551667","192.168.1.193","144.195.5.254","TCP","54","56901  >  443 [ACK] Seq=1041 Ack=4196 Win=66560 Len=0"
"161","3.552062","144.195.5.254","192.168.1.193","TLSv1.3","986","Application Data, Application Data, Application Data"
"162","3.554581","144.195.11.254","192.168.1.193","TLSv1.3","1414","Server Hello, Application Data"
"163","3.556886","144.195.11.254","192.168.1.193","TCP","1414","443  >  56900 [PSH, ACK] Seq=1460 Ack=1041 Win=64076 Len=1360 [TCP PDU reassembled in 170]"
"164","3.556886","144.195.11.254","192.168.1.193","TCP","1414","443  >  56900 [ACK] Seq=2820 Ack=1041 Win=64076 Len=1360 [TCP PDU reassembled in 170]"
"165","3.556886","144.195.11.254","192.168.1.193","TCP","70","443  >  56900 [PSH, ACK] Seq=4180 Ack=1041 Win=64076 Len=16 [TCP PDU reassembled in 170]"
"166","3.556886","206.247.150.213","192.168.1.193","TLSv1.3","133","Application Data"
"167","3.556886","206.247.150.213","192.168.1.193","TLSv1.3","133","Application Data"
"168","3.557005","192.168.1.193","144.195.11.254","TCP","54","56900  >  443 [ACK] Seq=1041 Ack=4196 Win=66560 Len=0"
"169","3.557074","192.168.1.193","206.247.150.213","TCP","54","56899  >  443 [ACK] Seq=1269 Ack=5287 Win=65536 Len=0"
"170","3.558031","144.195.11.254","192.168.1.193","TLSv1.3","986","Application Data, Application Data, Application Data"
"171","3.558031","206.247.150.213","192.168.1.193","TLSv1.3","122","Application Data"
"172","3.565310","192.168.1.193","144.195.5.254","TLSv1.3","128","Application Data"
"173","3.565792","192.168.1.193","144.195.5.254","TLSv1.3","208","Application Data"
"174","3.577001","192.168.1.193","144.195.11.254","TLSv1.3","128","Application Data"
"175","3.577363","192.168.1.193","144.195.11.254","TLSv1.3","208","Application Data"
"176","3.577472","192.168.1.193","206.247.150.213","TLSv1.3","1408","Application Data"
"177","3.692821","206.247.151.213","192.168.1.193","TLSv1.3","801","Application Data"
"178","3.694599","192.168.1.193","206.247.150.213","TLSv1.3","88","Application Data"
"179","3.694728","192.168.1.193","206.247.150.213","TLSv1.3","78","Application Data"
"180","3.694894","192.168.1.193","206.247.150.213","TCP","54","56899  >  443 [FIN, ACK] Seq=2681 Ack=5355 Win=65280 Len=0"
"181","3.695257","192.168.1.193","206.247.151.213","TLSv1.3","88","Application Data"
